Table	Head	Target	Result	Convers
1	0	11	10.9284	1
1	0	15	14.8638	1
1	0	20	20.1026	1
1	0	25	25.333	1
1	0	30	30.3226	1
1	0	35	35.56421	1
1	1	2.8	3.2536	1
1	1	4	4.386201	1
1	1	5	5.170201	1
1	1	8	8.087802	1
1	1	11	11.2112	1
1	1	15	15.1116	1
1	1	20	20.2846	1
1	1	25	25.3428	1
1	1	30	30.4388	1
1	1	35	35.511	1
1	2	2.8	3.3166	1
1	2	4	3.8864	1
1	2	5	5.210801	1
1	2	8	8.212399	1
1	2	11	11.0796	1
1	2	15	15.3188	1
1	2	20	20.51	1
1	2	25	25.403	1
1	2	30	30.5606	1
1	2	35	35.301	1
1	3	2.8	3.3992	1
1	3	4	4.6928	1
1	3	5	5.383	1
1	3	8	8.316001	1
1	3	11	11.3624	1
1	3	15	15.3118	1
1	3	20	20.3588	1
1	3	25	25.5668	1
1	3	30	30.9204	1
1	3	35	35.8988	1
1	4	2.8	3.0744	1
1	4	4	4.2294	1
1	4	5	5.114202	1
1	4	8	8.041599	1
1	4	11	11.1888	1
1	4	15	14.987	1
1	4	20	20.1936	1
1	4	25	25.4086	1
1	4	30	30.6978	1
1	4	35	35.60061	1
1	5	2.8	3.269	1
1	5	4	4.1104	1
1	5	5	5.136601	1
1	5	8	8.128401	1
1	5	11	11.1916	1
1	5	15	15.2572	1
1	5	20	20.3084	1
1	5	25	25.368	1
1	5	30	30.8098	1
1	5	35	35.7546	1
1	6	2.8	3.3012	1
1	6	4	4.0754	1
1	6	5	5.096002	1
1	6	8	7.9814	1
1	6	11	11.0334	1
1	6	15	15.0864	1
1	6	20	20.2132	1
1	6	25	25.1104	1
1	6	30	30.3646	1
1	6	35	35.5544	1
1	7	2.8	3.376801	1
1	7	4	4.2644	1
1	7	5	5.118402	1
1	7	8	8.180199	1
1	7	11	11.1202	1
1	7	15	15.0878	1
1	7	20	20.2202	1
1	7	25	25.1146	1
1	7	30	30.19941	1
1	7	35	35.51801	1
0	0	2.8	4.3358	1
0	0	4	4.8482	1
0	0	5	5.7008	1
0	0	8	8.638001	1
0	0	11	11.5542	1
0	0	15	15.5176	1
0	0	20	20.5912	1
0	0	25	25.396	1
0	0	30	30.5564	1
0	0	35	36.0752	1
0	1	2.8	3.4076	1
0	1	4	4.439401	1
0	1	5	5.240201	1
0	1	8	8.093401	1
0	1	11	10.8584	1
0	1	15	15.0402	1
0	1	20	20.2118	1
0	1	25	25.1678	1
0	1	30	29.9082	1
0	1	35	35.2408	1
0	2	2.8	2.713201	1
0	2	4	3.941	1
0	2	5	4.964399	1
0	2	8	7.781199	1
0	2	11	10.9494	1
0	2	15	15.0248	1
0	2	20	19.9654	1
0	2	25	24.99	1
0	2	30	30.45	1
0	2	35	35.5082	1
0	3	2.8	3.2606	1
0	3	4	4.3148	1
0	3	5	5.268201	1
